"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
0.000000000E0,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
5.650133000E-3,3.139200062E-2,-1.985999988E-3,-1.519750059E-1,1.551960190E-1
1.061958280E-1,9.924000129E-3,-5.580999888E-3,-1.504780054E-1,1.509081292E-1
1.160123190E-1,-3.999999899E-5,-5.382000003E-3,-1.477729976E-1,1.478709787E-1
1.258290880E-1,-3.999999899E-5,-5.382000003E-3,-1.477729976E-1,1.478709787E-1
1.356466590E-1,2.530000056E-4,-6.804999895E-3,-1.473679990E-1,1.475252492E-1
1.454641680E-1,2.530000056E-4,-6.804999895E-3,-1.473679990E-1,1.475252492E-1
1.552824030E-1,1.690999954E-3,-8.043999784E-3,-1.486099958E-1,1.488371468E-1
1.651006720E-1,1.690999954E-3,-8.043999784E-3,-1.486099958E-1,1.488371468E-1
1.749181710E-1,3.205999965E-3,-9.690999985E-3,-1.501729935E-1,1.505195067E-1
1.847357100E-1,3.205999965E-3,-9.690999985E-3,-1.501729935E-1,1.505195067E-1
1.945535560E-1,2.763000084E-3,-8.539999835E-3,-1.498969942E-1,1.501654909E-1
2.043714030E-1,2.763000084E-3,-8.539999835E-3,-1.498969942E-1,1.501654909E-1
2.141894300E-1,7.864999585E-3,-9.488999844E-3,-1.506980062E-1,1.512011521E-1
2.240074690E-1,7.864999585E-3,-9.488999844E-3,-1.506980062E-1,1.512011521E-1
2.338267950E-1,9.751999751E-3,-7.985999808E-3,-1.545339972E-1,1.550471992E-1
2.436461420E-1,9.751999751E-3,-7.985999808E-3,-1.545339972E-1,1.550471992E-1
2.534641640E-1,1.254399959E-2,-7.759000175E-3,-1.578859985E-1,1.585734610E-1
2.632822030E-1,1.254399959E-2,-7.759000175E-3,-1.578859985E-1,1.585734610E-1
2.731009300E-1,1.254399959E-2,-7.759000175E-3,-1.578859985E-1,1.585734610E-1
2.829196610E-1,1.254399959E-2,-7.759000175E-3,-1.578859985E-1,1.585734610E-1
2.927362770E-1,1.879600063E-2,-9.167999960E-3,-1.594939977E-1,1.608591843E-1
3.025528940E-1,1.879600063E-2,-9.167999960E-3,-1.594939977E-1,1.608591843E-1
3.123718290E-1,1.945300028E-2,-9.426999837E-3,-1.616020054E-1,1.630413925E-1
3.221907520E-1,1.945300028E-2,-9.426999837E-3,-1.616020054E-1,1.630413925E-1
3.320084080E-1,1.945300028E-2,-9.426999837E-3,-1.616020054E-1,1.630413925E-1
3.418261010E-1,1.945300028E-2,-9.426999837E-3,-1.616020054E-1,1.630413925E-1
3.516440870E-1,2.220500074E-2,-8.551999927E-3,-1.566690058E-1,1.584656938E-1
3.614620880E-1,2.220500074E-2,-8.551999927E-3,-1.566690058E-1,1.584656938E-1
3.712803940E-1,2.481300011E-2,-8.627999574E-3,-1.511610001E-1,1.534267751E-1
3.810987030E-1,2.481300011E-2,-8.627999574E-3,-1.511610001E-1,1.534267751E-1
3.909145800E-1,2.281500027E-2,-7.660999894E-3,-1.508679986E-1,1.527755483E-1
4.007304290E-1,2.281500027E-2,-7.660999894E-3,-1.508679986E-1,1.527755483E-1
4.105467800E-1,1.398099959E-2,-7.662999909E-3,-1.521919966E-1,1.530248141E-1
4.203631250E-1,1.398099959E-2,-7.662999909E-3,-1.521919966E-1,1.530248141E-1
4.301807750E-1,7.706999779E-3,-6.149999797E-3,-1.543260068E-1,1.546406696E-1
4.399984280E-1,7.706999779E-3,-6.149999797E-3,-1.543260068E-1,1.546406696E-1
4.498188520E-1,4.701999947E-3,-2.878000028E-3,-1.548700035E-1,1.549680924E-1
4.596393130E-1,4.701999947E-3,-2.878000028E-3,-1.548700035E-1,1.549680924E-1
4.694564310E-1,4.817000125E-3,-2.226999961E-3,-1.561190039E-1,1.562091751E-1
4.792735100E-1,4.817000125E-3,-2.226999961E-3,-1.561190039E-1,1.562091751E-1
4.890886060E-1,2.002000110E-3,-1.886000042E-3,-1.522209942E-1,1.522458409E-1
4.989036830E-1,2.002000110E-3,-1.886000042E-3,-1.522209942E-1,1.522458409E-1
5.087209350E-1,2.218999900E-3,-1.199000049E-3,-1.517490000E-1,1.517699593E-1
5.185381640E-1,2.218999900E-3,-1.199000049E-3,-1.517490000E-1,1.517699593E-1
5.283578520E-1,3.472999902E-3,2.661000006E-3,-1.519870013E-1,1.520499629E-1
5.381775430E-1,3.472999902E-3,2.661000006E-3,-1.519870013E-1,1.520499629E-1
5.479960470E-1,9.259000421E-3,3.110999940E-3,-1.525759995E-1,1.528883352E-1
5.578145480E-1,9.259000421E-3,3.110999940E-3,-1.525759995E-1,1.528883352E-1
5.676318890E-1,1.282200031E-2,-8.139000274E-3,-1.563380063E-1,1.570739291E-1
5.774492360E-1,1.282200031E-2,-8.139000274E-3,-1.563380063E-1,1.570739291E-1
5.872678830E-1,1.878800057E-2,-1.524799969E-2,-1.571860015E-1,1.590375099E-1
